  1	785		142.29	<.0001	0.71718115
  2	594		88.91	<.0001	0.57535438
  3	792		51.53	<.0001	0.50339449
  4	811		90.03	<.0001	0.40276531
  5	706		74.62	<.0001	0.33364351
  6	649		37.97	<.0001	0.30181170
  7	129		33.73	<.0001	0.27594344
  8	636		31.84	<.0001	0.25350214
  9	734		26.17	<.0001	0.23629821
 10	133		25.42	<.0001	0.22068892
 11	162		21.09	<.0001	0.20844659
 12	114		20.08	<.0001	0.19740612
 13	809		16.83	<.0001	0.18856402
 14	625		16.20	<.0001	0.18041731
 15	638		28.39	<.0001	0.16717652
 16	717		18.31	<.0001	0.15905125
 17	798		15.32	<.0001	0.15252828
 18	728		15.38	<.0001	0.14624553
 19	732		19.86	<.0001	0.13855528
 20	647		18.60	<.0001	0.13170573
 21	704		20.02	<.0001	0.12472177
 22	571		15.82	<.0001	0.11943534
 23	416		14.31	<.0001	0.11483386
 24	797		13.30	<.0001	0.11070980
 25	747		12.56	<.0001	0.10694517
 26	759		11.60	<.0001	0.10357726
 27	678		18.27	<.0001	0.09852835
 28	746		17.97	<.0001	0.09379909
 29	664		11.45	<.0001	0.09087806
 30	745		11.64	<.0001	0.08799998
 31		811	1.57	0.1515	0.08838838
 32	623		10.64	<.0001	0.08582353
 33	810		12.02	<.0001	0.08301996
 34	566		11.95	<.0001	0.08032140
 35	729		14.16	<.0001	0.07724432
 36	584		8.71	<.0001	0.07539677
 37	486		10.39	<.0001	0.07325334
 38	485		7.89	<.0001	0.07166071
 39	516		8.24	<.0001	0.07003394
 40	761		7.16	<.0001	0.06864898
 41	774		8.32	<.0001	0.06707521
 42	773		8.08	<.0001	0.06558050
 43	811		8.62	<.0001	0.06402276
 44	784		10.13	<.0001	0.06224163
 45	772		9.17	<.0001	0.06066873
 46	715		7.41	<.0001	0.05942333
 47	593		14.84	<.0001	0.05702922
 48	122		10.01	<.0001	0.05545845
 49		594	1.15	0.3314	0.05563873
 50	793		9.46	<.0001	0.05418767
 51	702		7.78	<.0001	0.05301900
 52	691		7.81	<.0001	0.05187135
 53	654		7.18	<.0001	0.05083672
 54	323		7.03	<.0001	0.04984278
 55	652		6.83	<.0001	0.04889521
 56	667		6.92	<.0001	0.04795313
 57	806		6.97	<.0001	0.04702217
 58	568		7.02	<.0001	0.04610219
 59	116		6.55	<.0001	0.04525915
 60	753		5.71	<.0001	0.04453548
 61	764		6.58	<.0001	0.04371726
 62	770		6.74	<.0001	0.04289465
 63	743		6.82	<.0001	0.04207735
 64	755		6.79	<.0001	0.04127894
 65	742		8.51	<.0001	0.04030109
 66	604		5.48	<.0001	0.03968126
 67	617		9.30	<.0001	0.03865530
 68	730		5.26	<.0001	0.03808378
 69	177		4.93	<.0001	0.03755508
 70	156		8.48	<.0001	0.03666620
 71	164		9.00	<.0001	0.03574685
 72	799		4.84	<.0001	0.03525927
 73	756		4.74	<.0001	0.03478709
 74	780		5.15	<.0001	0.03428143
 75		773	1.50	0.1751	0.03442835
 76	152		4.73	<.0001	0.03396835
 77	757		4.90	<.0001	0.03349851
 78		753	1.23	0.2860	0.03361681
 79	646		4.88	<.0001	0.03315368
 80	633		5.67	<.0001	0.03262337
 81	221		4.73	<.0001	0.03218715
 82	564		4.61	0.0001	0.03176716
 83	551		8.24	<.0001	0.03103368
 84	710		5.01	<.0001	0.03059402
 85	723		18.88	<.0001	0.02902073
 86	712		5.22	<.0001	0.02859225
 87	650		4.63	0.0001	0.02821687
 88	663		5.79	<.0001	0.02775452
 89		485	1.51	0.1709	0.02787505
 90	444		4.56	0.0001	0.02751454
 91	455		4.37	0.0002	0.02717249
 92	648		4.45	0.0002	0.02682843
 93	 81		3.91	0.0007	0.02652991
 94	447		3.91	0.0007	0.02623436
 95	167		3.83	0.0008	0.02594775
 96	227		3.77	0.0010	0.02566863
 97	744		3.61	0.0015	0.02540400
 98	752		4.77	<.0001	0.02505853
 99	739		3.73	0.0011	0.02479119
100	665		4.24	0.0003	0.02449091
101	639		3.49	0.0020	0.02424629
102	458		3.46	0.0021	0.02400599
103	500		3.84	0.0008	0.02374226
104	620		4.70	<.0001	0.02342317
105	615		5.11	<.0001	0.02308157
106	602		9.34	<.0001	0.02247303
107	738		3.86	0.0008	0.02222411
108	754		3.77	0.0010	0.02198346
109	779		3.55	0.0017	0.02175910
110	724		4.19	0.0003	0.02149748
111	788		3.53	0.0018	0.02127933
