140	572		28.06	<.0001	0.00000000
141	365		21.18	<.0001	0.00000000
142	704		20.62	<.0001	0.00000000
143	1086		25.24	<.0001	0.00000000
144	1010		25.33	<.0001	0.00000000
145	871		25.94	<.0001	0.00000000
146	545		25.53	<.0001	0.00000000
147	184		27.26	<.0001	0.00000000
148	639		30.37	<.0001	0.00000000
149	952		54.53	<.0001	0.00000000
150	155		36.82	<.0001	0.00000000
151	885		40.17	<.0001	0.00000000
152	111		38.60	<.0001	0.00000000
153	1055		48.07	<.0001	0.00000000
154	435		59.78	<.0001	0.00000000
155	588		51.27	<.0001	0.00000000
156	653		42.20	<.0001	0.00000000
157	393		44.68	<.0001	0.00000000
158	889		92.51	<.0001	0.00000000
159	208		64.60	<.0001	0.00000000
160	181		94.91	<.0001	0.00000000
161	848		84.94	<.0001	0.00000000
162	 49		85.68	<.0001	0.00000000
163	159		199.36	<.0001	0.00000000
164	770		131.87	<.0001	0.00000000
165	397		140.16	<.0001	0.00000000
166	 48		328.99	<.0001	0.00000000
167	384		512.20	<.0001	0.00000000
168	 73		410.71	<.0001	0.00000000
169	293		710.03	<.0001	0.00000000
170	651		3118.88	<.0001	0.00000000
171		 21	-38.09	1.0000	-0.00000000
