  1	  4		31.94	<.0001	0.51708002
  2	 12		26.58	<.0001	0.29020133
  3	734		15.62	<.0001	0.19847820
  4	873		13.78	<.0001	0.14075005
  5	585		10.24	<.0001	0.10771254
  6	1097		8.25	<.0001	0.08628237
  7	961		11.24	<.0001	0.06436541
  8	916		8.40	<.0001	0.05124316
  9	458		14.56	<.0001	0.03542292
 10	1063		6.74	<.0001	0.02932467
 11	  2		5.80	<.0001	0.02484683
 12	904		5.45	0.0001	0.02123304
 13	1049		7.47	<.0001	0.01719449
 14	1035		6.63	<.0001	0.01421284
 15	870		9.20	<.0001	0.01099236
 16	546		7.42	<.0001	0.00888081
 17	824		6.33	<.0001	0.00737549
 18	1091		6.15	<.0001	0.00614748
 19	925		5.43	0.0001	0.00522106
 20	842		5.14	0.0002	0.00446620
 21	922		4.29	0.0011	0.00391084
 22	362		4.46	0.0008	0.00340472
 23	182		4.35	0.0010	0.00297068
 24	877		3.59	0.0043	0.00264918
 25		1063	1.04	0.3990	0.00274186
 26	393		3.92	0.0023	0.00242134
 27	 94		3.22	0.0087	0.00218236
 28	601		3.23	0.0085	0.00196473
 29	935		3.99	0.0020	0.00172697
 30	1095		4.60	0.0006	0.00148901
 31	1083		3.66	0.0038	0.00132006
 32	419		3.58	0.0045	0.00117241
 33	828		3.29	0.0076	0.00104980
 34	295		3.66	0.0038	0.00092848
 35	852		3.17	0.0097	0.00083354
 36		734	1.39	0.2319	0.00087520
 37	1087		3.44	0.0058	0.00077871
 38	1042		3.93	0.0023	0.00068170
 39	  3		3.29	0.0078	0.00060864
 40	966		4.01	0.0020	0.00053043
 41		585	0.54	0.7480	0.00054090
 42		916	1.23	0.2962	0.00056527
 43	154		3.29	0.0077	0.00050466
 44	551		3.12	0.0107	0.00045275
 45		458	1.51	0.1906	0.00047789
 46	674		3.18	0.0095	0.00042787
 47	715		3.93	0.0024	0.00037355
 48	666		4.20	0.0014	0.00032292
 49	564		3.48	0.0055	0.00028560
 50	776		3.43	0.0060	0.00025276
 51	924		2.95	0.0147	0.00022716
 52	513		3.22	0.0090	0.00020215
 53	815		2.92	0.0157	0.00018160
 54		925	1.59	0.1668	0.00019280
 55	 24		2.66	0.0255	0.00017481
 56	1046		2.70	0.0237	0.00015816
 57	598		2.70	0.0237	0.00014298
 58	 10		2.61	0.0279	0.00012957
 59	 30		3.11	0.0112	0.00011525
 60	482		3.23	0.0089	0.00010197
 61	845		2.51	0.0338	0.00009254
 62	786		2.59	0.0291	0.00008367
 63	733		2.77	0.0210	0.00007508
 64	548		3.00	0.0138	0.00006674
 65	917		2.69	0.0244	0.00005997
 66	1009		3.16	0.0103	0.00005289
 67	1004		2.53	0.0329	0.00004774
 68	1077		3.11	0.0114	0.00004210
 69	613		2.96	0.0151	0.00003731
 70	847		2.87	0.0176	0.00003313
 71		922	1.47	0.2066	0.00003526
 72	 26		2.37	0.0433	0.00003193
 73		1046	1.53	0.1866	0.00003407
 74	1073		2.57	0.0305	0.00003062
 75	953		2.72	0.0232	0.00002733
 76	1011		2.42	0.0400	0.00002467
 77	112		2.72	0.0233	0.00002197
 78	 36		2.59	0.0294	0.00001965
 79	162		2.77	0.0214	0.00001744
 80	691		2.84	0.0190	0.00001541
 81	892		2.50	0.0351	0.00001380
 82	854		2.62	0.0280	0.00001228
 83	487		3.02	0.0139	0.00001074
 84	1053		2.62	0.0282	0.00000954
 85	 45		2.44	0.0393	0.00000853
 86	245		2.55	0.0320	0.00000758
 87	252		2.37	0.0447	0.00000678
